GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,YardLine,Description,Formation,PlayType,IsPass,IsTouchdown,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,YardLineFixed,YardLineDirection
2016101605,2016-10-16,2,13,47,NO,CAR,35,"3-W.LUTZ KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101605,2016-10-16,2,9,4,NOT APPLICABLE,CAR,0,TIMEOUT #1 BY NO AT 09:04.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,2,3,2,CAR,NO,35,9-G.GANO KICKS 63 YARDS FROM CAR 35 TO NO 2. 34-T.HIGHTOWER TO NO 18 FOR 16 YARDS (55-D.MAYO).,UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101605,2016-10-16,2,2,37,NOT APPLICABLE,CAR,0,TIMEOUT #1 BY CAR AT 02:37.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,2,2,0,NOT APPLICABLE,CAR,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,2,1,19,NOT APPLICABLE,CAR,0,TIMEOUT #2 BY CAR AT 01:19.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,2,1,15,CAR,NO,85,"9-G.GANO EXTRA POINT IS GOOD, CENTER-44-J.JANSEN, HOLDER-8-A.LEE.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101605,2016-10-16,2,1,15,CAR,NO,35,"9-G.GANO KICKS 65 YARDS FROM CAR 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101605,2016-10-16,2,0,38,NOT APPLICABLE,CAR,0,TIMEOUT #3 BY NO AT 00:38.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,2,0,10,NO,CAR,35,"3-W.LUTZ KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101605,2016-10-16,2,0,0,NOT APPLICABLE,CAR,0,END QUARTER 2,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
