GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016092200,2016-09-22,2,14,17,HOU,NE,1,10,50,"(14:17) (SHOTGUN) 17-B.OSWEILER PASS SHORT RIGHT TO 26-L.MILLER TO NE 45 FOR 5 YARDS (21-M.BUTLER). PENALTY ON HOU-87-C.FIEDOROWICZ, ILLEGAL FORMATION, 5 YARDS, ENFORCED AT 50 - NO PLAY.",5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,50,OPP,1,HOU,1,ILLEGAL FORMATION,5
2016092502,2016-09-25,2,2,24,DEN,CIN,2,10,71,"(2:24) (SHOTGUN) 13-T.SIEMIAN PASS SHORT RIGHT TO 10-E.SANDERS TO CIN 28 FOR 1 YARD (57-V.REY) [97-G.ATKINS]. PENALTY ON DEN-76-M.GARCIA, INELIGIBLE DOWNFIELD PASS, DECLINED.",1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,29,OPP,0,DEN,0,INELIGIBLE DOWNFIELD PASS,0
2016092502,2016-09-25,4,14,17,DEN,CIN,2,9,19,"(14:17) 13-T.SIEMIAN PASS SHORT MIDDLE TO 11-J.NORWOOD TO DEN 24 FOR 5 YARDS (90-M.JOHNSON). PENALTY ON CIN-90-M.JOHNSON, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT DEN 19 - NO PLAY.",5,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,19,OWN,1,CIN,1,DEFENSIVE HOLDING,5
2016092503,2016-09-25,4,13,59,DET,GB,3,1,81,"(13:59) PENALTY ON DET-72-L.TOMLINSON, FALSE START, 5 YARDS, ENFORCED AT GB 19 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,19,OPP,1,DET,1,FALSE START,5
2016102302,2016-10-23,4,14,17,DET,WAS,2,12,87,"(14:17) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 15-G.TATE. PENALTY ON DET-68-T.DECKER, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT WAS 13 - NO PLAY.",0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,0,0,,13,OPP,1,DET,1,OFFENSIVE HOLDING,10
2016091200,2016-09-12,1,1,13,WAS,PIT,4,7,77,"(1:13) 3-D.HOPKINS 40 YARD FIELD GOAL IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY. PENALTY ON PIT-25-A.BURNS, DEFENSIVE OFFSIDE, DECLINED.",0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,0,0,0,0,,23,OPP,0,PIT,0,DEFENSIVE OFFSIDE,0
2016091200,2016-09-12,2,9,17,WAS,PIT,1,10,58,"(9:17) 31-M.JONES UP THE MIDDLE TO PIT 32 FOR 10 YARDS (31-R.COCKRELL, 23-M.MITCHELL). PENALTY ON WAS-85-V.DAVIS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PIT 42 - NO PLAY.",10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,42,OPP,1,WAS,1,OFFENSIVE HOLDING,10
2016092509,2016-09-25,1,1,29,TB,LA,2,3,82,"(1:29) (NO HUDDLE, SHOTGUN) PENALTY ON TB-69-D.DOTSON, FALSE START, 5 YARDS, ENFORCED AT LA 18 - NO PLAY.",0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,18,OPP,1,TB,1,FALSE START,5
2016092510,2016-09-25,4,7,22,PHI,PIT,4,4,45,"(7:22) 8-D.JONES PUNTS 47 YARDS TO PIT 8, CENTER-46-J.DORENBOS, FAIR CATCH BY 84-A.BROWN. PENALTY ON PHI-52-N.GOODE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PHI 45 - NO PLAY.",0,PUNT,PUNT,0,0,0,0,,0,0,0,0,0,0,0,,45,OWN,1,PHI,1,OFFENSIVE HOLDING,10
2016092511,2016-09-25,4,13,49,IND,SD,2,30,31,"(13:49) (SHOTGUN) 33-R.TURBIN UP THE MIDDLE TO IND 41 FOR 10 YARDS (91-C.REID; 95-T.PALEPOI). PENALTY ON IND-84-J.DOYLE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT IND 31 - NO PLAY.",10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,31,OWN,1,IND,1,OFFENSIVE HOLDING,10
